requirement_id,clause,normative_paragraph,conformance_status,evidence_or_open_work
REQ-045,6.9,"Refusals MUST identify the reason code, invariant violated, capability boundary, safe alternative when one exists, and trace reference. Deterministic means stable decision rules and result structure; timestamps and unique trace identifiers need not be identical between executions.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-046,6.10,"The Interposer's rules MUST NOT be tuned or replaced during runtime. Changes require human authorization, invariant and geometry compatibility checks, and the controlled rebuild or rekey process. Python-level attribute protection alone does not satisfy hostile-runtime immutability.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-047,7.2,"The Control Plane MUST NOT change identity, invariants, geometry, refusal rules, drift thresholds, or the granted capability ceiling.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-048,7.3,"The Control Plane MUST NOT elevate an agent, authorize a Tier 2 mutation, override cooldown, or lift a refusal on its own initiative.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-049,7.4,"It MUST apply Interposer directives. If a required protection cannot be applied or confirmed, affected work MUST remain blocked.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-050,7.5,"Partitioning, load balancing, sequencing, and permitted sharing MUST preserve per-agent isolation and envelope limits. Task allocation MUST NOT combine permissions into an unauthorized aggregate capability.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-051,7.6,"Recovery MUST stop the affected sequence, isolate the fault, clear Tier 0, and apply authorized Tier 1 cleanup as required. It MUST preserve geometry rules and record the failure. Retry is permitted only within the existing authorized recovery policy.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-052,7.7,"The Control Plane may reduce scope, add delays, and downgrade operation. It MUST NOT autonomously remove protective restrictions or increase capability usage. Recovery to broader operation requires the authorized path, not an elapsed timer alone.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-053,7.8,"The Control Plane MUST NOT own identity, long-term context, or preference models. Temporary coordination metadata must have a defined owner and lifetime. The v4.1 implementation retains per-agent state; separation of coordination metadata from protected stores remains incomplete.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-054,7.9,"Routing MUST follow the configured order of determinism, safety, latency, and throughput within already-authorized operations. Determinism never legitimizes a forbidden route. Quality-of-service targets cannot override enforcement; no numerical QoS commitment is established by this contract.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-055,7.10,"Control actions MUST record action identity, relevant actor, timestamp, invariant references, geometry surface when used, and result code. A successful coordination message is not proof that a downstream action completed.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-056,8.1,"AdSim MUST apply bounded adversarial pressure to test memory separation, refusal behavior, continuity, and synergy limits. It MUST NOT expand capability, import external data into its test scope, mutate identity or geometry, or initiate recursive self-testing. Outputs include breach attempts, drift signatures, and stress-response records.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-057,8.2,"Defense MUST apply authorized cooldown, safe-mode operation, isolation, and termination of unsafe sequences. It MUST NOT override the Interposer or widen envelopes. Outputs include protective-action records and recovery markers.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-058,8.3,"Integrity MUST validate invariant health, continuity authenticity, memory-tier separation, capability traces, and geometry alignment. It MUST NOT write Tier 2, change identity, alter thresholds, or rewrite refusal logic. v4.2 implements only the bounded correction surface described in Section 11.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-059,8.5,"The Control Plane MUST isolate an unstable unit. The Interposer clamps capability and mediates the required structural verification. The unit may reload only from its authorized baseline, without carrying unauthorized state forward. Audit evidence must remain separate from the reset unit.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-060,9.3,"Escalation transfers evidence and a decision request to the appropriate authority. It does not itself transfer permissions. If approval is unavailable, the system remains within the safe branch. Urgency MUST NOT create emergency authority implicitly.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-061,10.3,"QAMS MUST NOT infer intent, change payload meaning, grant authority, or use an alternate destination to bypass a denial. Queue acceptance, handler delivery, enforcement approval, and completed execution are distinct events. Their evidence must not be conflated.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-062,10.5,"The earlier four-level surface map uses L0 for intake, L1 for coherence, L2 for drift geometry, and L3 for rule response. It is a different conceptual view. Historical arrows directly connecting agents or Purple to geometry MUST NOT be read as valid v4.2 implementation routes.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-063,10.7,"Presence and memory backends remain collaborator interfaces with mocks in the scaffold. They MUST NOT become alternate identity stores, decision authorities, or uncontrolled persistence paths. Optional integration failure and required safety-component failure must be distinguished explicitly.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-064,11.3,The residual metric weights constraint violations and is validated as symmetric positive semidefinite. The state metric determines the correction's minimum-norm objective and is validated as symmetric positive definite. They have different dimensions and MUST NOT be treated as interchangeable.,OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-065,11.5,"Declared iteration limits bound loop iterations, not arbitrary callback execution time. TAU_WARN and TAU_COOL are declared but unused. They MUST NOT be presented as live warning or cooldown integration.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-066,11.6,CoordinateDomain accepts finite vectors and optional elementwise box bounds. The correction method checks domain admissibility at convergence. It does not prove that every intermediate candidate stays inside a safe corridor. Intermediate numerical candidates MUST NOT be committed to live system state merely because they were generated by the solver.,OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-067,11.8,"Some invalid inputs, including a non-finite initial state and a mismatched Jacobian shape, raise ValueError rather than return CorrectionResult. Future runtime integration MUST handle both returned failures and exceptions without committing a candidate or bypassing enforcement. An adapter-normalized error schema is required but is not implemented in v4.2.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-068,11.9,"A converged result MUST still satisfy the caller's complete invariant, permission, and acceptance checks before use. Failure MUST NOT authorize additional iterations, relaxed metrics, broader domain bounds, or direct collaborator access.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-069,12.1,Integrity owns the Stability Engine-facing correction interface. URIEL-3b owns its internal holonomy and geometric operators. The adapter mediates. Raw collaborator internals MUST NOT cross the boundary.,OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-070,12.2,"The adapter is a translation and containment boundary, not a policy authority. It MUST preserve Interposer enforcement over Stability Engine-bound operations. Interface ownership by Integrity does not permit it to bypass that enforcement.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-071,12.3,"Direct calls to URIEL internal operators, raw holonomy transfer, shared mutable state, runtime rule mutation, and fallback to unmediated access MUST be prohibited. Neither project silently inherits the other's authority through integration.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-072,12.4,"The adapter MUST validate schemas, dimensions, domains, and attribution. It MUST translate bounded requests and results without exposing collaborator internals. Malformed or inadmissible exchange MUST fail closed and preserve the last known admissible committed state.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-073,13.1,"The system MUST retain attributable records of relevant observations, routing, gate decisions, correction outcomes, and recovery actions. A denied or failed operation must remain distinguishable from completed execution. Resetting an agent MUST NOT silently rewrite its incident history.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-074,13.2,"Trace identifiers and payload digests support correlation. They MUST NOT be described as authenticated, tamper-proof evidence solely because they are called hashes. The scaffold uses UUID-derived identifiers and truncated SHA-256 values, including a repr-based payload digest. It does not implement a cryptographically authenticated evidence chain.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-075,13.3,"Audit retention MUST have an explicit schema, owner, access policy, and lifetime. Retaining evidence MUST NOT grant an agent permission to recall it as personal continuity. Section 15.3 establishes the approved separation between automatic audit writes and human-gated Tier 2, with implementation details requiring explicit authorization.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-076,13.4,"Escalation MUST preserve the attempted operation, relevant actor and trace, boundary hit, failed checks, protective actions, and unresolved authority requirement. Integrity may evaluate the evidence; only the authorized decision path may approve additional permission. The full escalation packet is still unimplemented.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-077,13.5,"Changes to identity, authority, constraints, metrics, adapters, or recovery policy MUST be explicit and versioned. Runtime optimization MUST NOT perform them. Historical contracts and release artifacts remain preserved as provenance rather than being silently rewritten.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-078,15.1,"The consolidated v4.0 text categorically forbids upward writes, while the detailed contract defines authorized Tier 2 updates and v4.1 explicitly tests signed T1-to-T2 access. The approved interpretation in Clause 4.4 distinguishes autonomous promotion from a separately authorized transaction. Human Prime approval MUST remain transaction-scoped.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-079,15.1,The older documents describe the T2/T0 read direction inconsistently. This contract blocks raw exchange in either direction and retains the detailed contract's sanitized Tier 2 metadata path to Tier 1. This policy is approved. An explicit requester/source/destination schema MUST be defined before implementation.,OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-080,15.3,"Automatic audit logging and human-gated long-term agent memory MUST have separate access semantics. Operational evidence MUST be preserved without making it an agent recall channel. This approved separation does not introduce a fourth memory tier. The record schema, retention authority, and storage placement MUST be explicitly authorized before implementation.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-081,15.4,"Before runtime integration, the acceptance policy MUST specify whether mandatory constraints may use a singular residual metric or require independent per-constraint validation, and whether domain checks apply to every candidate or only the final result. Exception normalization, callback execution limits, and the final-iteration acceptance rule MUST also be specified. Approval of this clause establishes these obligations; it does not select an unspecified alternative or change the prototype behavior documented in Section 11.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-082,15.5,The six-layer integration view MUST remain distinct from the four-level surface map and the three memory tiers. Historical TSRL naming variants and R = 4 provenance MUST be preserved without presenting a universal mathematical guarantee as established. This contract authorizes no repository-wide renaming or v5.0 reorganization.,OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
REQ-083,15.6,"Joe Kasper approved Clauses 15.1 through 15.6 on 15 September 2026. Each MUST requirement MUST be traced to code, tests, or an open issue for conformance review. Outstanding integration details in this section MUST be resolved before the affected integration proceeds. Hardened-containment claims require demonstrated enforcement, authenticated authority, fail-closed handling, and controlled audit persistence. Contract approval does not certify implementation conformance.",OPEN,No runtime conformance certification. See ../CONFORMANCE_v4_2.md.
